domain,mean,median,sd,q025,q975,prob_pos
pid5_negative_affectivity,0.768853939240711,0.77181991,0.5827065801622813,-0.365818632,1.852069005000001,0.90225
pid5_detachment,-0.07149245228442361,-0.0742297565,0.6195625573979672,-1.2694998325,1.1658200625000006,0.4505
pid5_antagonism,-1.3111441521318754,-1.33118375,0.8219692633841791,-2.9228511200000002,0.33908891700000027,0.05725
pid5_disinhibition,-0.06431376936054238,-0.0862429225,0.7282288560871212,-1.478602015,1.3490307650000006,0.463
pid5_psychoticism,-0.39215211045964976,-0.391614715,0.8031637838804115,-1.9551330225,1.215624325,0.3125
