trait,g1_mean,g1_q05,g1_q95,g1_pd,g2_mean,g2_q05,g2_q95,g2_pd,model,moderator_type,source
domain_disinhibition_baseline,-0.7594810608940079,-4.218877495,2.6202154449999986,0.6404000000000001,-1.3113623517578545,-4.753834945,2.145913544999999,0.7354499999999999,F0_BASELINE,Baseline,NA
domain_psychoticism_baseline,1.175679557673722,-3.19423967,5.553255315,0.6713,-0.8378101397571176,-5.288433475,3.5796223799999995,0.6213,F0_BASELINE,Baseline,NA
domain_negative_affect_baseline,-0.5397217451886267,-1.66389869,0.5689165084999999,0.787,-0.7826852978892009,-1.87708191,0.32101276649999966,0.88175,NNE_BASELINE,Baseline,NA
domain_detachment_baseline,1.093980865052652,0.1675110665,2.012501215,0.97375,0.5018055148084138,-0.417637764,1.4230407449999996,0.8148,NNE_BASELINE,Baseline,NA
domain_antagonism_baseline,0.21935906058480037,-0.6438313200000001,1.0688393799999998,0.66335,-0.48239199041283465,-1.32404173,0.36362202050000003,0.8289,NNE_BASELINE,Baseline,NA
domain_disinhibition_baseline,-0.781425317378999,-1.5817096899999998,0.027605993099999913,0.94335,-0.20365440117317135,-1.005529345,0.6025499969999997,0.66315,NNE_BASELINE,Baseline,NA
domain_psychoticism_baseline,0.17986651966981268,-0.87565674549999994,1.2438586,0.6119,1.0592110059590807,0.006465363960000013,2.11124403,0.9508,NNE_BASELINE,Baseline,NA
pid5_negative_affectivity,4.4601047725486636,0.8237941230000001,8.134235304999999,0.97725,-0.17024753092200096,-3.9249246749999998,3.5772792549999983,0.5327500000000001,F0_COMBINED,NA,EMA
pid5_detachment,-1.7049431188996564,-5.442965305,2.054794335,0.7773,-3.0605093623184296,-6.8031641149999995,0.717209955999999,0.9065,F0_COMBINED,NA,EMA
pid5_antagonism,1.9045917429892107,-1.641522315,5.4090073799999985,0.8144,4.561044932457811,0.9234301635000001,8.179523819999996,0.97905,F0_COMBINED,NA,EMA
pid5_disinhibition,-0.8426422906560191,-5.592233875000001,3.9117730549999994,0.61145,-0.8555674016306486,-5.67237281,3.95560483,0.6166499999999999,F0_COMBINED,NA,EMA
pid5_psychoticism,-1.9636791203852781,-5.877568125,1.896400484999999,0.7982,-3.63980527145262,-7.52926457,0.3100305284999981,0.9349,F0_COMBINED,NA,EMA
domain_negative_affect_baseline,2.5651489343971425,-2.094632485,7.169234765000001,0.81835,2.0686361446752457,-2.608850225,6.767714974999999,0.76335,F0_COMBINED,NA,Baseline
domain_detachment_baseline,-0.449777317867472,-4.692715345,3.787105944999999,0.5674,-2.6560097905275963,-7.013654515,1.6503532399999987,0.8472,F0_COMBINED,NA,Baseline
domain_antagonism_baseline,-2.1008075112666527,-5.92998445,1.7101423849999997,0.81925,2.7522618848150424,-1.0856305800000001,6.58983606,0.8788,F0_COMBINED,NA,Baseline
domain_disinhibition_baseline,-0.8426266845830045,-4.2994290049999995,2.61925706,0.65745,-1.086941666280377,-4.601083895,2.4260466249999992,0.6985,F0_COMBINED,NA,Baseline
domain_psychoticism_baseline,1.6031055335140356,-3.1038554449999998,6.316527495,0.7153,1.5502783775758302,-3.21367146,6.2719248649999955,0.7076,F0_COMBINED,NA,Baseline
pid5_negative_affectivity,-0.3483742534779752,-1.2283080149999999,0.5364318419999999,0.7448,-0.29429811676035733,-1.1683289799999999,0.5852238485,0.7115,NNE_COMBINED,NA,EMA
pid5_detachment,0.13146876826149745,-0.7612195355,1.0235032449999997,0.59865,0.0851115490753771,-0.8309312135,1.0047895,0.5601,NNE_COMBINED,NA,EMA
pid5_antagonism,-0.029862794017485376,-0.9030302269999999,0.8344380039999999,0.5211,-0.26590294104202894,-1.1335160249999998,0.5861283919999996,0.6946,NNE_COMBINED,NA,EMA
pid5_disinhibition,-0.019956417194021154,-1.170374925,1.1506245149999998,0.5156000000000001,-0.7865977775623446,-1.95601566,0.4060168754999999,0.86025,NNE_COMBINED,NA,EMA
pid5_psychoticism,0.1720837890959118,-0.7782235755,1.11343617,0.61915,0.799410453494537,-0.13047160249999992,1.737074485,0.9211,NNE_COMBINED,NA,EMA
domain_negative_affect_baseline,-0.459982490323458,-1.6062480000000001,0.6927949874999995,0.743,-0.7889858665896379,-1.960102435,0.3636738449999995,0.8691,NNE_COMBINED,NA,Baseline
domain_detachment_baseline,1.044803212454146,-0.002447785659999994,2.10115946,0.9495,0.7812136629053545,-0.26677928649999993,1.8220008049999998,0.88985,NNE_COMBINED,NA,Baseline
domain_antagonism_baseline,0.2312797596682548,-0.6773259720000001,1.1555837899999999,0.65795,-0.3379432893635376,-1.268593005,0.5958191719999999,0.728,NNE_COMBINED,NA,Baseline
domain_disinhibition_baseline,-0.7583308734007839,-1.5692851049999998,0.0641119999499998,0.93515,-0.1654660351374799,-0.996102494,0.6604874664999999,0.62695,NNE_COMBINED,NA,Baseline
domain_psychoticism_baseline,0.14932327249622815,-1.02239602,1.300876205,0.58345,0.8514926959160986,-0.30587806549999996,2.0066468399999993,0.8876,NNE_COMBINED,NA,Baseline
