trait,g1_mean,g1_q05,g1_q95,g1_pd,g2_mean,g2_q05,g2_q95,g2_pd,model,moderator_type,source
pid5_negative_affectivity,3.144579029492019,0.3699594705,5.896877665,0.9701,-0.45224699436166943,-3.268599275,2.369446064999998,0.6032,F0_EMA,EMA,NA
pid5_detachment,-0.3684170369051815,-3.14334529,2.398444475,0.5858,-2.020567563739265,-4.8396304,0.7575242794999985,0.881,F0_EMA,EMA,NA
pid5_antagonism,-0.09275417158202554,-2.7533071749999998,2.559109415,0.5215000000000001,3.16433347286036,0.5348569790000001,5.783890970000001,0.975,F0_EMA,EMA,NA
pid5_disinhibition,-0.21174344844328005,-3.259746735,2.8199742199999998,0.5488,-0.176604860223378,-3.2492812449999997,2.8907924049999996,0.53645,F0_EMA,EMA,NA
pid5_psychoticism,-0.2589394434700635,-3.06651145,2.5524282599999997,0.55855,-1.414780310693858,-4.212090975,1.3511794849999998,0.7975,F0_EMA,EMA,NA
pid5_negative_affectivity,-0.4638079043713515,-1.29347444,0.3750363254999999,0.821,-0.3858966126080112,-1.2046105349999998,0.4309505544999995,0.7805,NNE_EMA,EMA,NA
pid5_detachment,0.3003353270653229,-0.5464335634999999,1.126533345,0.7204,0.2119295528844442,-0.6304579735,1.0534985000000001,0.6645,NNE_EMA,EMA,NA
pid5_antagonism,-0.00703100329746957,-0.7742663735,0.766622173,0.5099,-0.43162801673844,-1.2051112149999998,0.33971248699999973,0.82455,NNE_EMA,EMA,NA
pid5_disinhibition,0.3123826039626312,-0.6833033230000001,1.3041794799999997,0.69545,-0.4003092978432573,-1.39591056,0.5811654669999998,0.7483,NNE_EMA,EMA,NA
pid5_psychoticism,-0.02632356626960175,-0.852695461,0.8035855149999998,0.52105,0.882890077256879,0.0554279571,1.7300677699999996,0.96095,NNE_EMA,EMA,NA
domain_negative_affect_baseline,3.3677788596339084,-1.254785225,7.8894382499999995,0.8849,1.462138077977265,-3.2053163099999997,6.089631839999999,0.70105,F0_BASELINE,Baseline,NA
domain_detachment_baseline,-1.2233215559199744,-5.0948622750000006,2.658642054999999,0.69435,-3.375463960262559,-7.252007874999999,0.5712099134999997,0.92015,F0_BASELINE,Baseline,NA
domain_antagonism_baseline,-1.5002739415542223,-5.13531797,2.091856234999997,0.755,4.578382073949709,0.9334109355,8.20249631,0.9803,F0_BASELINE,Baseline,NA
