timepoint,ID,F0 mean Hz /a/,F0 mean Hz /i/,F0 mean Hz /u/,NNE /a/,NNE /i/,NNE /u/
BASELINE,P001,187.495,188.833,191.204,-23.699,-27.482,-20.008
BASELINE,P002,156.291,157.255,159.321,-24.66,-25.567,-26.8
BASELINE,P003,190.015,192.078,191.812,-29.931,-29.833,-31.457
BASELINE,P004,199.843,210.061,214.935,-22.331,-28.804,-31.754
BASELINE,P005,205.636,207.38,213.415,-21.965,-31.362,-30.18
BASELINE,P006,178.442,186.472,184.706,-17.84,-26.133,-28.064
BASELINE,P007,211.734,216.429,224.662,-25.377,-30.367,-31.942
BASELINE,P008,184.126,185.791,188.565,-26.962,-27.395,-27.036
BASELINE,P009,198.278,201.065,201.489,-21.165,-22.143,-26.32
BASELINE,P010,198.636,204.328,206.44,-23.281,-30.51,-30.3
BASELINE,P011,203.125,177.884,178.245,-21.15,-18.996,-22.921
BASELINE,P012,181.234,186.279,185.938,-22.136,-28.708,-25.821
BASELINE,P013,177.673,194.974,180.424,-23.879,-26.159,-29.439
BASELINE,P014,187.749,194.778,189.204,-24.772,-30.59,-30.868
BASELINE,P015,179.185,195.481,195.602,-21.42,-28.574,-30.056
BASELINE,P016,188.322,189.237,207.083,-22.447,-26.925,-24.127
BASELINE,P017,189.977,193.485,192.883,-28.596,-28.28,-28.808
BASELINE,P018,173.833,181.844,173.7,-25.246,-28.373,-28.336
BASELINE,P019,188.83,194.668,194.278,-26.867,-30.603,-29.637
BASELINE,P020,187.753,179.694,177.323,-25.944,-27.52,-28.421
BASELINE,P021,162.597,172.272,161.579,-24.163,-28.456,-28.467
BASELINE,P022,186.224,184.425,184.837,-30.785,-28.533,-29.049
BASELINE,P023,192.589,192.494,194.814,-20.58,-29.011,-29.708
BASELINE,P024,194.928,195.417,196.348,-28.494,-30.233,-27.657
BASELINE,P025,177.238,178.134,178.416,-23.856,-23.843,-23.563
BASELINE,P026,182.829,186.142,184.554,-23.094,-27.505,-27.536
BASELINE,P027,179.07,180.238,181.461,-18.277,-23.392,-21.905
BASELINE,P028,183.41,205.595,205.485,-24.667,-30.251,-30.562
BASELINE,P029,224.167,229.657,231.94,-26.244,-31.703,-32.224
BASELINE,P030,207.461,208.023,204.147,-28.714,-31.456,-29.657
BASELINE,P031,189.751,191.478,191.874,-28.618,-29.648,-30.985
BASELINE,P032,199.223,197.923,205.319,-20.54,-26.855,-28.722
BASELINE,P033,133.318,134.962,136.723,-22.234,-20.465,-23.969
BASELINE,P034,202.172,217.021,216.519,-24.42,-25.048,-27.412
BASELINE,P035,188.383,197.641,191.166,-26.217,-26.358,-23.761
BASELINE,P036,206.144,205.417,208.603,-27.556,-28.006,-29.177
BASELINE,P037,186.205,189.869,188.979,-23.307,-29.39,-31.621
BASELINE,P038,197.773,193.013,199.578,-24.607,-25.841,-28.44
BASELINE,P039,183.072,185.023,182.114,-28.892,-27.626,-28.185
BASELINE,P040,172.386,174.352,176.942,-20.529,-25.492,-26.387
BASELINE,P041,153.185,150.67,153.852,-18.244,-24.908,-24.414
BASELINE,P042,171.454,175.16,175.037,-22.55,-27.215,-27.075
BASELINE,P043,188.072,184.9,189.42,-19.786,-26.18,-16.006
BASELINE,P044,203.219,220.625,210.106,-22.834,-30.811,-29.855
BASELINE,P045,146.173,164.984,155.622,-19.488,-23.459,-27.766
BASELINE,P046,185.321,201.36,211.357,-28.106,-29.041,-29.28
BASELINE,P047,141.439,148.831,145.205,-20.518,-18.815,-26.256
BASELINE,P048,272.181,273.573,273.367,-26.979,-31.187,-33.635
BASELINE,P049,170.991,185.858,190.348,-19.84,-29.644,-31.277
BASELINE,P050,165.923,170.376,173.694,-19.641,-25.939,-30.76
BASELINE,P051,156.826,141.626,173.728,-13.033,-18.578,-16.968
BASELINE,P052,157.826,160.585,165.144,-21.478,-25.398,-24.107
BASELINE,P053,187.417,190.951,196.223,-21.661,-28.524,-29.689
BASELINE,P054,188.111,189.603,196.376,-18.61,-21.655,-26.948
BASELINE,P055,224.368,220.407,221.08,-30.745,-31.482,-31.126
BASELINE,P056,168.581,167.453,168.467,-20.236,-29.614,-30.624
BASELINE,P057,190.808,193.987,192.252,-23.266,-28.747,-29.993
BASELINE,P058,220.937,216.209,220.935,-24.346,-28.384,-30.212
BASELINE,P059,167.226,179.442,177.629,-23.035,-28.047,-29.784
BASELINE,P060,184.611,188.208,188.832,-23.139,-27.677,-27.915
BASELINE,P061,183.777,184.218,186.123,-26.333,-29.365,-28.786
BASELINE,P062,203.965,235.039,229.67,-26.178,-32.972,-29.03
BASELINE,P063,167.136,219.153,172.956,-24.965,-19.479,-23.608
BASELINE,P064,203.022,212.47,225.497,-20.333,-29.134,-29.02
BASELINE,P065,205.198,210.128,210.119,-26.598,-30.173,-28.779
BASELINE,P066,160.882,161.955,163.41,-29.196,-28.66,-29.724
BASELINE,P067,205.813,205.43,208.569,-25.174,-29.654,-29.093
BASELINE,P068,170.288,216.55,191.77,-20.847,-24.409,-26.777
BASELINE,P069,190.231,191.562,190.529,-28.819,-27.707,-30.252
BASELINE,P070,185.62,185.295,182.46,-23.529,-28.935,-29.381
BASELINE,P071,182.284,195.527,203.155,-21.29,-26.496,-30.181
BASELINE,P072,185.446,184.168,185.409,-23.463,-28.457,-29.161
BASELINE,P073,188.068,196.587,195.278,-28.676,-28.048,-29.375
