timepoint,ID,F0 mean Hz /a/,F0 mean Hz /i/,F0 mean Hz /u/,NNE /a/,NNE /i/,NNE /u/
BASELINE,P074,209.123,202.102,210.526,-26.555,-23.306,-30.213
BASELINE,P075,153.862,196.883,185.024,-20.905,-22.675,-26.297
BASELINE,P076,241.619,244.02,249.45,-19.328,-30.332,-31.816
BASELINE,P077,147.283,151.497,154.01,-13.794,-26.231,-25.669
BASELINE,P078,198.499,200.056,199.843,-24.196,-26.784,-27.583
BASELINE,P079,188.384,194.126,159.518,-21.637,-27.581,-15.697
BASELINE,P080,194.103,199.911,191.077,-30.847,-30.013,-26.886
BASELINE,P081,187.284,188.147,194.377,-21.18,-22.713,-24.495
BASELINE,P082,215.489,214.705,215.057,-26.997,-31.511,-31.023
BASELINE,P083,212.342,215.577,215.294,-30.051,-28.538,-30.733
BASELINE,P084,198.126,204.49,206.452,-28.223,-26.735,-24.4
BASELINE,P085,180.117,189.354,192.155,-20.863,-27.908,-27.18
BASELINE,P086,205.922,212.537,205.74,-27.776,-31.108,-28.813
BASELINE,P087,177.453,174.395,178.46,-26.714,-29.017,-25.552
BASELINE,P088,155.569,164.382,160.864,-24.97,-24.65,-24.103
BASELINE,P089,182.147,180.328,183.869,-25.235,-28.336,-27.675
BASELINE,P090,192.207,182.423,191.776,-19.605,-27.491,-26.364
BASELINE,P091,209.432,223.196,222.247,-25.502,-28.12,-23.782
BASELINE,P092,232.537,216.075,220.523,-26.796,-29.558,-30.083
BASELINE,P093,166.745,175.094,175.41,-22.221,-27.314,-30.386
BASELINE,P094,195.724,198.457,204.604,-24.275,-30.671,-31.012
BASELINE,P095,200.269,210.566,208.371,-19.723,-28.1,-29.098
BASELINE,P096,137.056,149.76,161.263,-16.926,-28.198,-21.571
BASELINE,P097,236.786,240.028,238.059,-32.098,-33.413,-33.062
BASELINE,P098,199.712,203.462,208.152,-28.329,-31.151,-30.787
BASELINE,P099,220.753,221.682,223.608,-19.984,-30.714,-32.689
BASELINE,P100,191.329,186.181,184.13,-22.316,-23.141,-29.831
BASELINE,P101,195.03,195.363,196.381,-20.549,-29.341,-29.854
BASELINE,P102,175.693,176.943,180.643,-25.572,-28.557,-28.59
BASELINE,P103,177.676,179.153,178.747,-21.922,-25.398,-29.949
BASELINE,P104,177.539,177.705,179.505,-25.44,-30.552,-31.173
BASELINE,P105,177.039,180.443,178.868,-22.574,-28.758,-29.363
BASELINE,P106,188.014,190.166,193.933,-21.69,-28.591,-29.705
BASELINE,P107,202.852,218.175,215.113,-22.461,-28.238,-26.768
BASELINE,P108,201.323,206.945,211.75,-20.122,-28.343,-30.651
BASELINE,P109,156.312,165.684,143.789,-23.228,-26.893,-27.915
BASELINE,P110,156.191,170.392,171.203,-19.083,-28.956,-29.906
BASELINE,P111,173.952,172.873,175.201,-20.479,-28.774,-29.524
BASELINE,P112,189.242,193.27,197.1,-21.037,-28.695,-29.071
BASELINE,P113,237.888,252.884,258.515,-22.142,-33.355,-24.517
BASELINE,P114,184.289,186.946,201.289,-28.257,-29.979,-30.601
BASELINE,P115,177.119,176.808,176.764,-28.074,-28.127,-27.965
BASELINE,P116,182.852,189.293,197.126,-22.268,-20.903,-22.986
BASELINE,P117,183.643,186.096,192.453,-22.56,-28.279,-29.331
BASELINE,P118,190.83,194.726,165.148,-20.302,-28.477,-19.562
BASELINE,P119,205.635,199.581,187.481,-25.911,-22.832,-22.854
PRE,P001,189.503,188.384,189.259,-28.602,-28.845,-28.785
PRE,P002,165.891,169.554,166.515,-29.328,-31.328,-30.587
PRE,P003,191.42,206.605,186.602,-26.44,-29.835,-27.785
PRE,P004,219.247,230.225,227.937,-31.159,-34.534,-31.212
PRE,P005,192.617,201.99,204.678,-19.259,-24.385,-29.423
PRE,P006,186.541,185.257,189.084,-19.322,-30.111,-27.19
PRE,P007,214.613,216.833,223.334,-27.659,-30.679,-29.176
PRE,P008,188.081,184.824,186.77,-24.034,-26.283,-29.71
PRE,P009,194.322,199.029,198.035,-30.129,-29.838,-29.828
PRE,P010,197.63,203.641,197.084,-21.428,-29.982,-26.425
PRE,P011,191.994,192.338,188.868,-24.473,-24.358,-25.513
PRE,P012,186.939,185.285,185.288,-25.148,-30.763,-31.506
PRE,P013,182.072,185.204,183.527,-21.742,-26.102,-29.278
PRE,P014,198.858,202.606,197.785,-24.792,-29.34,-30.391
PRE,P015,180.36,188.57,188.056,-23.699,-27.395,-29.002
PRE,P016,189.257,191.16,194.338,-24.135,-29.433,-29.865
PRE,P017,198.721,201.216,201.227,-26.41,-29.255,-29.828
PRE,P018,206.025,205.311,207.445,-28.617,-27.996,-30.318
PRE,P019,173.842,179.475,177.862,-23.333,-28.061,-27.495
PRE,P020,188.704,184.234,188.542,-23.476,-27.824,-28.465
PRE,P021,152.838,166.47,161.029,-18.386,-23.825,-25.487
PRE,P022,186.224,184.425,184.837,-30.785,-28.533,-29.049
PRE,P023,194.986,197.248,202.451,-26.53,-29.343,-31.936
PRE,P024,178.621,178.357,179.933,-24.099,-26.579,-29.126
PRE,P025,174.763,183.386,184.274,-22.745,-27.031,-29.872
PRE,P026,157.413,161.336,167.047,-27.791,-28.033,-28.617
PRE,P027,176.066,178.644,177.435,-28.108,-29.548,-31.512
PRE,P028,185.819,191.925,193.697,-20.752,-30.227,-29.984
PRE,P029,231.821,236.216,235.793,-25.566,-31.68,-31.028
PRE,P030,202.348,201.611,203.433,-26.264,-29.577,-28.771
PRE,P031,202.574,202.384,201.535,-28.969,-31.617,-31.924
PRE,P032,198.659,199.923,202.78,-22.249,-22.562,-23.834
PRE,P033,172.399,179.23,176.806,-24.087,-28.158,-28.233
PRE,P034,204.048,211.655,207.402,-28.384,-24.071,-24.567
PRE,P035,194.649,193.881,198.375,-17.672,-21.609,-26.056
PRE,P036,190.085,187.063,190.21,-29.37,-29.668,-30.731
PRE,P037,183.842,186.492,185.312,-23.138,-28.438,-28.23
PRE,P038,190.267,187.798,194.62,-13.587,-18.01,-18.947
PRE,P039,183.072,185.023,182.114,-28.892,-27.626,-28.185
PRE,P040,172.977,172.547,171.306,-24.153,-29.527,-27.665
PRE,P041,138.912,139.787,143.646,-19.608,-25.879,-26.533
PRE,P042,171.454,175.16,175.037,-22.55,-27.215,-27.075
PRE,P043,181.526,195.62,189.392,-25.374,-28.478,-27.738
PRE,P044,196.716,210.876,204.118,-27.802,-29.748,-31.939
PRE,P045,158.396,160.352,162.591,-25.082,-27.832,-26.125
PRE,P046,208.351,218.887,226.672,-25.866,-32.111,-28.589
PRE,P047,131.175,261.238,152.853,-20.722,-11.786,-21.841
PRE,P048,269.68,274.013,274.561,-31.2,-31.46,-33.495
PRE,P049,179.332,188.499,183.872,-21.412,-31.099,-30.017
PRE,P050,190.217,193.485,191.66,-28.476,-29.427,-30.526
PRE,P051,150.488,164.933,203.151,-13.202,-10.716,-17.11
PRE,P052,156.737,158.541,174.396,-19.283,-21.792,-21.515
PRE,P053,203.566,199.092,201.464,-23.029,-24.794,-21.356
PRE,P054,186.978,193.211,192.721,-17.167,-26.831,-27.218
PRE,P055,204.694,200.298,202.122,-17.189,-30.847,-30.07
PRE,P056,182.597,182.948,183.153,-27.806,-31.142,-31.904
PRE,P057,193.073,195.319,194.213,-20.185,-29.692,-31.031
PRE,P058,209.481,211.499,211.511,-24.687,-30.943,-31.995
PRE,P059,168.962,172.546,170.852,-28.797,-30.86,-29.464
PRE,P060,194.757,197.565,195.851,-24.092,-26.376,-28.496
PRE,P061,189.969,194.284,195.432,-28.674,-29.033,-29.99
PRE,P062,222.746,233.791,233.638,-27.809,-32.318,-31.732
PRE,P063,165.176,225.173,179.621,-28.225,-22.648,-23.46
PRE,P064,197.639,200.81,207.855,-18.653,-29.014,-29.404
PRE,P065,217.622,221.474,219.46,-31.623,-31.97,-30.049
PRE,P066,187.908,188.926,190.463,-22.499,-27.825,-29.841
PRE,P067,195.373,196.559,197.782,-29.755,-32.379,-28.611
PRE,P068,197.919,210.598,210.381,-29.52,-28.612,-30.096
PRE,P069,200.445,211.22,205.408,-30.287,-30.473,-31.25
PRE,P070,214.915,214.037,214.887,-25.419,-30.176,-30.998
PRE,P071,179.491,190.626,192.165,-21.328,-27.464,-29.795
PRE,P072,183.286,200.255,190.307,-22.621,-28.754,-29.639
PRE,P073,190.499,189.486,187.611,-29.123,-30.487,-28.019
PRE,P074,205.888,205.325,206.784,-23.418,-26.385,-28.974
PRE,P075,170.656,191.181,190.562,-17.237,-27.573,-26.332
PRE,P076,241.17,241.449,239.643,-24.152,-25.704,-27.854
PRE,P077,152.519,155.955,165.785,-17.205,-28.331,-6.456
PRE,P078,233.718,235.616,234.043,-30.575,-33.136,-34.137
PRE,P079,200.412,206.462,207.614,-25.504,-29.599,-29.183
PRE,P080,186.482,182.384,183.632,-30.721,-30.556,-30.64
PRE,P081,175.821,179.309,180.494,-20.393,-23.065,-24.656
PRE,P082,218.013,220.061,220.161,-30.995,-35.074,-32.958
PRE,P083,221.788,228.242,228.481,-26.602,-29.65,-31.305
PRE,P084,196.434,195.984,201.735,-30.09,-31.279,-31.676
PRE,P085,180.117,189.354,192.155,-20.863,-27.908,-27.18
PRE,P086,187.631,194.369,190.757,-26.36,-25.696,-26.762
PRE,P087,180.675,179.369,183.269,-22.315,-25.429,-29.682
PRE,P088,145.734,145.857,144.455,-24.039,-24.679,-25.316
PRE,P089,194.956,195.425,196.13,-28.038,-27.516,-26.589
PRE,P090,204.833,208.169,205.205,-20.603,-28.391,-31.434
PRE,P091,199.933,197.157,222.992,-19.48,-29.175,-30.205
PRE,P092,222.179,220.337,216.229,-23.122,-26.213,-31.693
PRE,P093,166.012,172.803,171.835,-24.528,-24.799,-28.522
PRE,P094,186.934,216.442,216.785,-20.77,-30.28,-31.925
PRE,P095,200.524,203.104,205.315,-24.06,-28.344,-30.535
PRE,P096,157.651,158.032,163.611,-16.25,-26.454,-24.849
PRE,P097,254.947,260.106,259.595,-33.298,-34.372,-33.77
PRE,P098,205.847,210.42,208.001,-32.04,-32.493,-31.712
PRE,P099,221.636,226.428,230.13,-15.973,-31.284,-31.375
PRE,P100,193.631,190.796,194.068,-26.358,-27.834,-24.206
PRE,P101,201.181,206.827,209.089,-22.737,-29.371,-30.586
PRE,P102,178.54,182.201,181.958,-19.973,-29.147,-28.152
PRE,P103,175.961,187.806,192.887,-25.768,-26.497,-30.62
PRE,P104,177.58,173.602,174.37,-22.703,-26.36,-28.831
PRE,P105,198.907,200.443,200.023,-26.312,-28.315,-31.626
PRE,P106,200.753,215.249,212.254,-27.316,-28.383,-31.112
PRE,P107,190.917,200.454,207.368,-19.207,-28.123,-25.869
PRE,P108,189.473,192.811,194.288,-28.359,-30.328,-29.538
PRE,P109,156.312,165.684,143.789,-23.228,-26.893,-27.915
PRE,P110,172.576,177.634,178.049,-28.274,-28.804,-27.769
PRE,P111,181.357,185.885,184.096,-23.256,-29.33,-31.038
PRE,P112,217.664,216.699,218.444,-26.098,-25.647,-29.101
PRE,P113,262.382,266.889,271.206,-32.04,-34.384,-31.82
PRE,P114,187.382,189.29,195.296,-29.88,-30.19,-31.462
PRE,P115,190.688,199.154,200.89,-22.416,-27.152,-26.503
PRE,P116,186.272,191.896,198.449,-23.126,-19.027,-18.629
PRE,P117,179.788,184.472,185.541,-20.64,-28.281,-30.727
PRE,P118,205.91,208.234,209.801,-20.267,-29.619,-31.215
PRE,P119,208.307,208.659,206.905,-28.231,-30.529,-29.937
POST,P001,189.503,188.384,190.816,-28.602,-28.845,-28.919
POST,P002,159.309,161.514,164.262,-25.794,-30.667,-31.227
POST,P003,182.714,182.12,185.247,-25.568,-30.242,-31.284
POST,P004,207.504,214.656,218.334,-30.173,-29.552,-31.567
POST,P005,199.347,201.553,203.464,-29.735,-29.16,-27.723
POST,P006,188.973,191.465,196.235,-22.746,-28.918,-28.728
POST,P007,195.51,203.618,203.513,-23.235,-29.987,-30.454
POST,P008,191.399,196.03,193.104,-24.771,-29.111,-30.973
POST,P009,214.088,215.269,217.493,-31.048,-28.004,-29.073
POST,P010,199.182,183.58,178.886,-27.074,-23.933,-25.973
POST,P011,191.981,191.245,197.645,-26.325,-25.892,-25.864
POST,P012,186.658,182.085,180.33,-21.916,-27.655,-27.653
POST,P013,178.309,180.362,175.946,-17.317,-19.004,-26.437
POST,P014,199.162,205.923,209.392,-22.871,-28.447,-30.24
POST,P015,175.359,187.148,194.22,-23.08,-27.103,-29.321
POST,P016,177.434,182.848,185.318,-26.236,-29.468,-29.672
POST,P017,223.601,229.054,228.781,-30.44,-31.927,-33.314
POST,P018,208.179,214.585,221.567,-29.157,-30.656,-31.184
POST,P019,195.447,196.378,199.438,-29.344,-30.951,-30.954
POST,P020,192.027,194.725,196.637,-28.075,-28.594,-29.126
POST,P021,174.724,170.223,170.653,-17.081,-28.307,-28.53
POST,P022,186.224,184.425,184.837,-30.785,-28.533,-29.049
POST,P023,183.534,184.284,186.787,-26.807,-29.073,-31.029
POST,P024,190.318,192.3,193.98,-18.815,-27.225,-27.386
POST,P025,167.71,173.601,173.43,-21.958,-25.961,-28.248
POST,P026,172.274,164.121,187.029,-26.752,-28.371,-20.89
POST,P027,176.066,178.644,177.435,-28.108,-29.548,-31.512
POST,P028,193.865,196.953,207.59,-26.24,-28.531,-26.328
POST,P029,217.114,223.327,227.102,-23.677,-25.166,-28.452
POST,P030,201.116,201.242,205.402,-27.183,-29.479,-28.371
POST,P031,195.831,189.051,187.279,-29.25,-28.247,-29.596
POST,P032,209.5,209.111,214.709,-21.436,-31.967,-30.851
POST,P033,155.714,158.235,158.901,-27.074,-28.317,-26.329
POST,P034,202.925,163.972,199.696,-23.108,-15.605,-26.655
POST,P035,189.059,194.197,198.517,-22.022,-26.702,-27.513
POST,P036,185.809,188.919,187.766,-28.785,-29.201,-30.099
POST,P037,186.205,189.869,188.979,-23.307,-29.39,-31.621
POST,P038,193.864,188.513,202.333,-24.815,-25.007,-30.37
POST,P039,179.291,180.148,179.214,-26.981,-28.003,-28.045
POST,P040,173.065,171.08,170.13,-24.518,-28.368,-27.786
POST,P041,162.623,167.936,164.799,-19.2,-28.902,-28.866
POST,P042,167.426,172.247,170.831,-23.475,-29.118,-28.14
POST,P043,192.443,193.144,197.566,-18.533,-17.301,-21.055
POST,P044,204.32,208.287,206.446,-30.385,-32.096,-31.435
POST,P045,162.003,165.91,165.818,-17.71,-26.664,-27.754
POST,P046,240.663,239.97,246.366,-30.612,-31.647,-33.228
POST,P047,132.147,132.469,129.962,-24.725,-26.407,-27.6
POST,P048,298.597,299.407,298.424,-31.668,-31.916,-31.289
POST,P049,174.887,184.767,177.409,-22.714,-29.513,-30.86
POST,P050,180.939,188.197,186.766,-23.083,-28.415,-30.535
POST,P051,139.617,144.762,150.098,-21.198,-16.605,-12.618
POST,P052,157.904,160.732,166.408,-25.592,-24.903,-28.037
POST,P053,193.073,206.106,210.722,-24.657,-27.654,-24.604
POST,P054,193.474,199.176,197.796,-18.293,-26.913,-29.537
POST,P055,203.543,196.122,199.134,-27.197,-30.571,-30.522
POST,P056,177.205,177.184,177.647,-27.04,-31.92,-29.841
POST,P057,194.195,193.543,192.797,-28.925,-28.919,-29.854
POST,P058,225.443,221.618,222.965,-30.018,-33.034,-32.186
POST,P059,173.212,178.427,178.45,-23.986,-29.915,-28.004
POST,P060,189.32,190.32,190.699,-26.365,-29.454,-29.311
POST,P061,180.459,179.36,181.405,-23.037,-23.055,-23.734
POST,P062,226.379,231.746,258.902,-28.866,-31.325,-29.167
POST,P063,205.628,195.97,203.552,-28.161,-25.304,-25.601
POST,P064,171.992,188.786,192.371,-13.852,-20.004,-24.124
POST,P065,211.681,212.478,209.676,-29.917,-31.174,-24.819
POST,P066,185.139,191.103,191.563,-21.203,-27.657,-27.432
POST,P067,205.971,205.638,207.639,-30.272,-30.299,-29.066
POST,P068,193.9,208.224,221.407,-29.248,-25.008,-31.369
POST,P069,184.272,197.197,189.314,-24.511,-29.875,-31.212
POST,P070,178.673,179.167,178.093,-25.365,-29.835,-29.748
POST,P071,175.698,191.998,195.912,-20.45,-29.656,-25.632
POST,P072,182.786,200.627,184.764,-25.206,-28.083,-31.78
POST,P073,179.499,176.1,176.49,-27.78,-29.081,-28.66
POST,P074,203.404,205.639,208.548,-19.513,-20.685,-29.176
POST,P075,172.099,180.009,239.296,-18.53,-28.26,-21.537
POST,P076,245.988,249.036,237.466,-28.351,-29.291,-29.64
POST,P077,145.244,150.245,146.511,-15.891,-27.823,-16.189
POST,P078,222.739,225.249,224.263,-28.169,-31.233,-30.975
POST,P079,190.295,197.384,197.842,-25.2,-23.103,-31.114
POST,P080,180.193,177.422,176.619,-28.97,-31.314,-30.529
POST,P081,178.166,191.436,192.15,-22.369,-22.164,-22.668
POST,P082,188.132,194.283,194.74,-24.897,-23.177,-24.636
POST,P083,221.037,222.086,222.529,-27.784,-29.195,-30.393
POST,P084,197.219,196.371,196.925,-30.066,-30.414,-30.428
POST,P085,180.117,189.354,192.099,-20.863,-27.908,-27.43
POST,P086,174.27,184.527,185.95,-23.51,-24.387,-26.951
POST,P087,176.521,178.05,179.964,-22.55,-20.378,-27.394
POST,P088,156.024,156.704,157.149,-27.249,-25,-27.166
POST,P089,200.227,198.48,201.302,-27.451,-28.385,-29.499
POST,P090,197.454,202.098,179.604,-25.167,-29.251,-30.01
POST,P091,203.385,188.845,215.417,-25.67,-26.996,-25.214
POST,P092,220.607,219.46,221.555,-24.607,-28.718,-30.954
POST,P093,155.808,159.446,162.681,-21.841,-26.26,-28.819
POST,P094,204.317,214.9,218.184,-25.023,-28.038,-31.339
POST,P095,194.101,213.016,210.254,-21.684,-30.298,-29.111
POST,P096,145.817,159.237,167.526,-19.614,-28.338,-29.146
POST,P097,205.478,202.039,197.043,-29.696,-30.5,-29.387
POST,P098,184.624,192.283,198.632,-27.006,-28.987,-27.402
POST,P099,248.871,248.365,257.632,-25.216,-34.82,-31.397
POST,P100,175.683,172.268,173.658,-20.984,-27.031,-29.824
POST,P101,204.215,204.742,206.808,-20.594,-27.81,-29.127
POST,P102,181.098,182.136,184.748,-15.804,-20.73,-24.751
POST,P103,176.493,183.766,181.282,-27.54,-25.662,-29.974
POST,P104,170.51,180.145,182.797,-20.502,-11.88,-27.249
POST,P105,193.173,196.267,193.377,-24.746,-29.36,-31.031
POST,P106,190.135,199.649,199.958,-27.87,-30.533,-25.363
POST,P107,205.086,211.631,213.988,-21.876,-26.721,-28.168
POST,P108,183.499,190.835,193.5,-23.656,-28.166,-30.513
POST,P109,163.926,149.905,145.265,-19.812,-23.969,-24.461
POST,P110,166.087,173.211,176.567,-24.301,-27.903,-28.945
POST,P111,180.9,179.407,180.579,-25.748,-25.733,-29.68
POST,P112,206.533,207.57,209.506,-21.792,-29.023,-32.137
POST,P113,255.133,258.961,260.42,-26.046,-32.375,-30.049
POST,P114,188.597,189.826,190.494,-16.953,-28.853,-30.137
POST,P115,190.923,195.413,188.645,-23.275,-28.52,-30.86
POST,P116,190.957,191.429,194.854,-21.547,-21.623,-22.501
POST,P117,173.597,172.415,172.432,-25.155,-24.313,-29.807
POST,P118,184.562,192.371,194.144,-19.628,-28.572,-30.61
POST,P119,218.578,219.207,221.874,-27.01,-29.737,-31.186
