parameter,mean,median,sd,q025,q975
effect_stress_low_disinhibition,0.011107121853014983,0.0074111861,0.2374745686205084,-0.451956224,0.47547241999999945
effect_stress_high_disinhibition,0.01719070464997534,0.017010975999999997,0.2470045371883743,-0.46909955875000003,0.49992593649999995
moderation_effect,0.006083582835308992,0.0132159685,0.37687457475896163,-0.73399604525,0.7275249985
