variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
alpha,11.626939757166667,11.626129,0.10360304438399068,0.09944687760000019,11.4565647,11.79736245,0.9997145465405873,3610.1754061687543,4186.21194097584
beta_c1,0.014148913263910351,0.015724775,0.15229607608019782,0.1488177696873,-0.2338164795,0.26412476100000004,1.0007619842804756,8905.334721555104,4681.115146650644
beta_c2,0.15781347704696416,0.158245985,0.15045496670200484,0.14924460281430002,-0.0896656312,0.40258114600000006,1.001077811896706,9923.308839137964,4375.514665857339
beta_disinhibition,-0.026618435297029834,-0.027221993,0.14305909832204441,0.1437219645162,-0.2598439765,0.20817813800000004,1.0008383993551073,3376.2779690268467,4263.216312329303
beta_c1_x_disinhibition,0.0030417913410846617,0.0066079843,0.18843728739382776,0.19119568087199998,-0.3054552635,0.3066137675000001,1.0009807019004533,10010.000208729469,4633.384465247306
sigma_alpha,0.9461005811133333,0.942599365,0.08783936998696137,0.08779065416099995,0.8091949614999999,1.09738625,0.9999342009091837,2302.673874138292,3842.983750756017
sigma_y,0.9688445843416666,0.96704481,0.04712165171156874,0.04738443714899998,0.8953591175000001,1.0493356249999999,1.0001560707523893,4304.844613739488,5156.680959556433
effect_stress_low_disinhibition,0.011107121853014983,0.0074111861,0.2374745686205084,0.23516911502699997,-0.37176049050000004,0.39857528950000004,1.0002499021510272,9338.55722595733,4580.060179607501
effect_stress_high_disinhibition,0.01719070464997534,0.017010975999999997,0.2470045371883743,0.249871266036,-0.390809077,0.4247739740000002,1.0008496310560944,9506.655308379835,4942.471249922489
moderation_effect,0.006083582835308992,0.0132159685,0.37687457475896163,0.38239136174399996,-0.6109105265,0.6132275350000002,1.0009806216258117,10010.000208729469,4633.384465247306
